song	band	lyrics_cluster
Rocking Chair Rock 'n' Roll Blues	elf	rock
Long Live Rock'n'roll	rainbow	rock
Like The Beat Of A Heart	dio	rock
Mystery	dio	rock
Rainbow In The Dark	dio	rock
Sacred Heart	dio	rock
The King Of Rock And Roll	dio	rock
When A Woman Cries	dio	rock
Carolina County Ball	elf	night
Never More	elf	night
Wonderworld	elf	night
Lady Of The Lake	rainbow	night
Sixteenth Greenthleves	rainbow	night
Lady Evil	black_sabbath	night
Master Of Insanity	black_sabbath	night
Time Machine	black_sabbath	night
Turn Up The Night	black_sabbath	night
Caught In The Middle	dio	night
Fallen Angels	dio	night
Gypsy	dio	night
Hungry For Heaven	dio	night
Naked In The Rain	dio	night
Night People	dio	night
Overlove	dio	night
Rock 'n' Roll Children	dio	night
Shame On The Night	dio	night
Shoot Shoot	dio	night
The Last In Line	dio	night
Gates Of Babylon	rainbow	away
Computer God	black_sabbath	away
Country Girl	black_sabbath	away
Falling Off The Edge Of The World	black_sabbath	away
Sign Of The Southern Cross	black_sabbath	away
Slipping Away	black_sabbath	away
Another Lie	dio	away
Egypt (The Chains Are On)	dio	away
Evil Eyes	dio	away
Holy Diver	dio	away
Ain't It All Amusing	elf	fuzzy
Annie New Orleans	elf	fuzzy
Black Swampy Water	elf	fuzzy
Blanche	elf	fuzzy
Dixie Lee Junction	elf	fuzzy
Do The Same Thing	elf	fuzzy
First Avenue	elf	fuzzy
Gambler, Gambler	elf	fuzzy
Good Time Music	elf	fuzzy
Happy	elf	fuzzy
I'm Coming Back For You	elf	fuzzy
L.a.59	elf	fuzzy
Liberty Road	elf	fuzzy
Love Me Like A Woman	elf	fuzzy
Prentice Wood	elf	fuzzy
Rainbow	elf	fuzzy
Shotgun Boogie	elf	fuzzy
Sit Down Honey (Everything Will Be Alright)	elf	fuzzy
Streetwalker	elf	fuzzy
When She Smiles	elf	fuzzy
A Light In The Black	rainbow	fuzzy
Do You Close Your Eyes	rainbow	fuzzy
Kill The King	rainbow	fuzzy
L. A. Connection	rainbow	fuzzy
Rainbow Eyes	rainbow	fuzzy
Run With The Wolf	rainbow	fuzzy
Sensitive To Light	rainbow	fuzzy
Shed (Subtle)	rainbow	fuzzy
Stargazer	rainbow	fuzzy
Starstruck	rainbow	fuzzy
Tarot Woman	rainbow	fuzzy
The Shed	rainbow	fuzzy
After All	black_sabbath	fuzzy
Buried Alive	black_sabbath	fuzzy
Die Young	black_sabbath	fuzzy
Heaven And Hell	black_sabbath	fuzzy
I	black_sabbath	fuzzy
Letters From Earth	black_sabbath	fuzzy
Lonely Is The Word	black_sabbath	fuzzy
Mob Rules	black_sabbath	fuzzy
Neon Knights	black_sabbath	fuzzy
Over And Over	black_sabbath	fuzzy
Sins Of The Father	black_sabbath	fuzzy
Too Late	black_sabbath	fuzzy
Tv Crimes	black_sabbath	fuzzy
Voodoo	black_sabbath	fuzzy
Walk Away	black_sabbath	fuzzy
Wishing Well	black_sabbath	fuzzy
All The Fools Sailed Away	dio	fuzzy
Breathless	dio	fuzzy
Don't Talk To Strangers	dio	fuzzy
Dream Evil	dio	fuzzy
Eat Your Heart Out	dio	fuzzy
Faces In The Window	dio	fuzzy
I Could Have Been A Dreamer	dio	fuzzy
I Speed At Night	dio	fuzzy
Invisible	dio	fuzzy
Just Another Day	dio	fuzzy
One Night In The City	dio	fuzzy
Stand Up And Shout	dio	fuzzy
Straight Through The Heart	dio	fuzzy
Sunset Superman	dio	fuzzy
We Rock	dio	fuzzy
